,Close,MA_20,StdDev,Upper_Band,Lower_Band,TP,SMA,MAD,CCI,Decision
2023-07-06,90.06900024414062,89.26494941711425,0.5150979578318966,90.29514533277805,88.23475350145046,90.06900024414062,89.26494941711425,0.3957600402832043,135.4441656870322,NEUTRAL
2023-07-09,89.14900207519531,89.29539947509765,0.4872339518358695,90.26986737876939,88.32093157142592,89.14900207519531,89.29539947509765,0.35921997070312556,-27.169499070590344,NEUTRAL
2023-07-10,90.74700164794922,89.40159950256347,0.5591347604953929,90.51986902355425,88.28332998157269,90.74700164794922,89.40159950256347,0.37760047912597655,237.53538810824963,SELL
2023-07-11,90.67500305175781,89.50269966125488,0.5980992826772193,90.69889822660932,88.30650109590044,90.67500305175781,89.50269966125488,0.4106401062011713,190.32130127244557,NEUTRAL
2023-07-12,91.23899841308594,89.6205997467041,0.6938429396271905,91.00828562595848,88.23291386744972,91.23899841308594,89.6205997467041,0.48768024444580077,221.2376770522363,SELL
2023-07-13,92.00499725341797,89.741499710083,0.8747579767939845,91.49101566367098,87.99198375649503,92.00499725341797,89.741499710083,0.6312500381469718,239.04923105477488,SELL
2023-07-16,92.08399963378906,89.86774978637695,1.0175834703590723,91.90291672709509,87.8325828456588,92.08399963378906,89.86774978637695,0.7733750152587874,191.04572414720963,SELL
2023-07-17,92.13300323486328,90.00419998168945,1.128995404554519,92.26219079079848,87.74620917258042,92.13300323486328,90.00419998168945,0.8922603607177735,159.05695593614442,NEUTRAL
2023-07-18,92.06400299072266,90.13465003967285,1.2100197327969824,92.55468950526681,87.71461057407889,92.06400299072266,90.13465003967285,1.0004455947875968,128.5662416228591,NEUTRAL
2023-07-19,91.8550033569336,90.22795028686524,1.2687148437185332,92.7653799743023,87.69052059942817,91.8550033569336,90.22795028686524,1.0978407287597662,98.8032251215191,NEUTRAL
2023-07-20,91.31500244140625,90.30755043029785,1.2852010542095222,92.8779525387169,87.7371483218788,91.31500244140625,90.30755043029785,1.1349058151245117,59.17977202351192,NEUTRAL
2023-07-23,90.22209930419922,90.35740547180175,1.2600911808893338,92.87758783358042,87.83722311002309,90.22209930419922,90.35740547180175,1.0900362777709958,-8.275331158654796,NEUTRAL
2023-07-24,90.43099975585938,90.40990562438965,1.238965668262201,92.88783696091406,87.93197428786524,90.43099975585938,90.40990562438965,1.044895553588867,1.3458526323371065,NEUTRAL
2023-07-25,90.37000274658203,90.43945579528808,1.230142650031849,92.89974109535179,87.97917049522438,90.37000274658203,90.43945579528808,1.0161909866333005,-4.556430147457077,NEUTRAL
2023-07-26,90.70999908447266,90.50095558166504,1.2102363419573217,92.92142826557968,88.0804828977504,90.70999908447266,90.50095558166504,0.9817455291748047,14.195362348348821,NEUTRAL
2023-07-27,90.12899780273438,90.55225563049316,1.1688995740831205,92.8900547786594,88.21445648232692,90.12899780273438,90.55225563049316,0.9304454803466797,-30.326536173553137,NEUTRAL
2023-07-30,89.38999938964844,90.62110557556153,1.0455020114999143,92.71210959856136,88.5301015525617,89.38999938964844,90.62110557556153,0.8615955352783203,-95.25785866685955,NEUTRAL
2023-07-31,90.3550033569336,90.67125587463379,1.0046808443816713,92.68061756339713,88.66189418587044,90.3550033569336,90.67125587463379,0.8114452362060547,-25.982654453170003,NEUTRAL
2023-08-01,90.5260009765625,90.7413558959961,0.9377214283366498,92.6167987526694,88.86591303932279,90.5260009765625,90.7413558959961,0.7511161804199219,-19.114212958213432,NEUTRAL
2023-08-02,90.39299774169922,90.79305572509766,0.8844891301616047,92.56203398542087,89.02407746477445,90.39299774169922,90.79305572509766,0.7143617248535165,-37.33477214506645,NEUTRAL
2023-08-03,90.57499694824219,90.81835556030273,0.8698030951869252,92.55796175067658,89.07874936992889,90.57499694824219,90.81835556030273,0.696651840209961,-23.28840108398116,NEUTRAL
2023-08-06,89.61599731445312,90.84170532226562,0.8278892351855496,92.49748379263673,89.18592685189452,89.61599731445312,90.84170532226562,0.6803070068359375,-120.11322295142269,NEUTRAL
2023-08-07,90.96600341796875,90.8526554107666,0.8280190142391213,92.50869343924484,89.19661738228837,90.96600341796875,90.8526554107666,0.6839767456054687,11.04793965880723,NEUTRAL
2023-08-08,90.66699981689453,90.85225524902344,0.8281113167981828,92.50847788261981,89.19603261542707,90.66699981689453,90.85225524902344,0.6842968750000011,-18.048251560300407,NEUTRAL
2023-08-09,90.88500213623047,90.83455543518066,0.8231785354295379,92.48091250603974,89.18819836432158,90.88500213623047,90.83455543518066,0.6630570983886713,5.07213241739418,NEUTRAL
2023-08-10,90.875,90.77805557250977,0.7760457171135218,92.33014700673681,89.22596413828273,90.875,90.77805557250977,0.5952572631835948,10.857426246453956,NEUTRAL
2023-08-13,90.08609771728516,90.67816047668457,0.7260718872910129,92.1303042512666,89.22601670210254,90.08609771728516,90.67816047668457,0.5377732849121089,-73.3968230368274,NEUTRAL
2023-08-14,90.64600372314453,90.60381050109864,0.640326214278515,91.88446292965567,89.3231580725416,90.64600372314453,90.60381050109864,0.4548722457885745,6.1838933805466905,NEUTRAL
2023-08-15,90.64299774169922,90.53276023864746,0.5408933298056485,91.61454689825875,89.45097357903616,90.64299774169922,90.53276023864746,0.3809406280517578,19.29215822345693,NEUTRAL
2023-08-16,90.49099731445312,90.46455993652344,0.4424297710622995,91.34941947864804,89.57970039439884,90.49099731445312,90.46455993652344,0.31888442993164007,5.5270552480615525,NEUTRAL
2023-08-17,90.30599975585938,90.41410980224609,0.3953760701389087,91.2048619425239,89.62335766196827,90.30599975585938,90.41410980224609,0.28597930908203184,-25.202300295485646,NEUTRAL
